RetainedRef	DuplicateRef
lcl|NC_004461.1_cds_WP_002470373.1_575	lcl|NC_004461.1_cds_WP_002470373.1_613
lcl|NC_004461.1_cds_WP_001830851.1_1301	lcl|NC_004461.1_cds_WP_001830851.1_1965
lcl|NC_004461.1_cds_WP_115172144.1_48	lcl|NC_004461.1_cds_WP_115172144.1_2132
